CO_ANO,CO_MES,nick,SG_UF_NCM,comex,KG_LIQUIDO,VL_FOB
1997,1,café,BA,exp,38400.0,152832.0
1997,3,SAM_k,BA,imp,6004584.0,579942.0
1997,4,MAP_k,BA,imp,3515344.0,784030.0
1997,4,MOP_k,BA,imp,4025970.0,514318.0
1997,4,SAM_k,BA,imp,11049492.0,1096029.0
1997,5,MAP_k,BA,imp,2038700.0,432204.0
1997,5,MOP_k,BA,imp,2610389.0,330214.0
1997,5,SAM_k,BA,imp,3677529.0,378785.0
1997,5,café,BA,exp,7800.0,27168.0
1997,5,soja,BA,exp,53883760.0,34269904.0
1997,6,MAP_k,BA,imp,9449094.0,2053108.0
1997,6,soja,BA,exp,29414373.0,18425338.0
1997,7,MAP_k,BA,imp,8711405.0,1941433.0
1997,7,MOP_k,BA,imp,5549943.0,726693.0
1997,7,soja,BA,exp,53721773.0,33514924.0
1997,8,MAP_k,BA,imp,11674177.0,2629609.0
1997,8,MOP_k,BA,imp,10823780.0,1389380.0
1997,8,SAM_k,BA,imp,29833638.21783761,2875321.0
1997,8,soja,BA,exp,21329254.0,12174946.0
1997,9,MAP_k,BA,imp,6131432.0,1387858.0
1997,9,MOP_k,BA,imp,2600000.0,312000.0
1997,9,SAM_k,BA,imp,2000000.0,169680.0
1997,10,MOP_k,BA,imp,24144625.0,3096621.0
1997,10,SAM_k,BA,imp,8061543.0,631010.0
1997,10,UREIA_k,BA,imp,12526386.0,1325688.0
1997,11,MAP_k,BA,imp,12779676.0,2897158.0
1997,11,MOP_k,BA,imp,10742193.0,1452907.0
1997,11,UREIA_k,BA,imp,2532438.0,296295.0
1997,11,café,BA,exp,7800.0,27168.0
1997,12,MAP_k,BA,imp,6959335.0,1578894.0
1997,12,MOP_k,BA,imp,13208102.0,1806813.0
1997,12,SAM_k,BA,imp,4095347.0,274388.0
1998,1,MAP_k,BA,imp,16637224.0,3777078.0
1998,2,MAP_k,BA,imp,5165947.0,1150276.0
1998,3,MAP_k,BA,imp,2747169.0,618662.0
1998,4,MOP_k,BA,imp,8049864.0,1080232.0
1998,4,SAM_k,BA,imp,12600067.0,692972.0
1998,4,soja,BA,exp,28374800.0,13449656.0
1998,5,MOP_k,BA,imp,18366641.0,2523895.0
1998,5,UREIA_k,BA,imp,4521160.0,442989.0
1998,5,soja,BA,exp,85182000.0,39871110.0
1998,6,MAP_k,BA,imp,27230664.0,6190484.0
1998,6,MOP_k,BA,imp,3500000.0,493500.0
1998,6,SAM_k,BA,imp,14737680.0,813797.0
1998,6,soja,BA,exp,62585880.0,29227416.0
1998,7,MAP_k,BA,imp,6540616.0,1447517.0
1998,7,MOP_k,BA,imp,9865000.0,1366290.0
1998,7,café,BA,exp,97200.0,360900.0
1998,7,soja,BA,exp,59925689.0,28355240.0
1998,8,MOP_k,BA,imp,7997608.0,1127663.0
1998,8,café,BA,exp,67620.0,254444.0
1998,8,soja,BA,exp,6476822.0,3048252.0
1998,9,MAP_k,BA,imp,18916334.0,4079594.0
1998,9,MOP_k,BA,imp,4063000.0,579783.0
1998,9,SAM_k,BA,imp,2000000.0,113000.0
1998,9,café,BA,exp,595140.0,2166294.0
1998,10,MAP_k,BA,imp,7930000.0,1765591.0
1998,10,MOP_k,BA,imp,15586580.0,2132169.0
1998,10,SAM_k,BA,imp,2508782.0,132549.0
1998,10,UREIA_k,BA,imp,32388279.348661028,3253460.0
1998,10,café,BA,exp,555960.0,1992416.0
1998,11,MOP_k,BA,imp,10003000.0,1280384.0
1998,11,SAM_k,BA,imp,11099968.0,645698.0
1998,11,UREIA_k,BA,imp,19991274.279989075,1937029.0
1998,11,café,BA,exp,329820.0,1212984.0
1998,12,MAP_k,BA,imp,4000000.0,828000.0
1998,12,MOP_k,BA,imp,6000000.0,869500.0
1998,12,SAM_k,BA,imp,8590662.0,505258.0
1998,12,café,BA,exp,112800.0,412848.0
1999,1,MAP_k,BA,imp,13101840.0,2866947.0
1999,1,SAM_k,BA,imp,8825043.0,476003.0
1999,1,café,BA,exp,733800.0,2658813.725490196
1999,2,MAP_k,BA,imp,7099825.0,1500610.0
1999,2,MOP_k,BA,imp,2486015.0,353014.0
1999,2,SAM_k,BA,imp,3000000.0,174000.0
1999,2,café,BA,exp,499800.0,1790619.607843137
1999,3,SAM_k,BA,imp,6012075.0,348700.0
1999,3,café,BA,exp,687720.0,2454125.4901960786
1999,4,café,BA,exp,438000.0,1591058.8235294118
1999,5,café,BA,exp,306000.0,1026127.450980392
1999,6,MAP_k,BA,imp,12448026.0,2441234.0
1999,6,MOP_k,BA,imp,11079249.0,1496031.0
1999,6,SAM_k,BA,imp,9481812.0,540946.0
1999,6,café,BA,exp,308400.0,1163258.8235294118
1999,7,MAP_k,BA,imp,6200315.0,1240986.0
1999,7,SAM_k,BA,imp,3000354.0,165019.0
1999,7,café,BA,exp,1116600.0,3714750.980392157
1999,8,MAP_k,BA,imp,4435000.0,962520.0
1999,8,MOP_k,BA,imp,4500000.0,625500.0
1999,8,café,BA,exp,2173560.0,7016015.68627451
1999,9,MAP_k,BA,imp,16011655.0,2978636.0
1999,9,MOP_k,BA,imp,15049960.0,2025670.0
1999,9,SAM_k,BA,imp,6500000.0,410280.0
1999,9,café,BA,exp,2015640.0,6273586.274509803
1999,10,MAP_k,BA,imp,12547687.0,2331475.0
1999,10,MOP_k,BA,imp,19500000.0,2629200.0
1999,10,SAM_k,BA,imp,12100000.0,664800.0
1999,10,café,BA,exp,840540.0,2657801.9607843137
1999,11,MAP_k,BA,imp,23000000.0,4202833.0
1999,11,MOP_k,BA,imp,14229716.0,1906577.0
1999,11,café,BA,exp,942000.0,2895745.0980392154
1999,12,MAP_k,BA,imp,4900000.0,885043.0
1999,12,MOP_k,BA,imp,23066131.0,3077527.0
1999,12,SAM_k,BA,imp,7428801.0,408584.0
1999,12,UREIA_k,BA,imp,3320000.0,277512.0
1999,12,café,BA,exp,1238400.0,4210968.62745098
2000,1,MAP_k,BA,imp,7813544.0,1406235.0
2000,1,MOP_k,BA,imp,2500000.0,332500.0
2000,1,SAM_k,BA,imp,8000000.0,433000.0
2000,1,UREIA_k,BA,imp,8915821.0,784778.0
2000,1,café,BA,exp,1460100.0,4900556.603773585
2000,2,MOP_k,BA,imp,3037724.0,414946.0
2000,2,SAM_k,BA,imp,4063140.0,245873.0
2000,2,café,BA,exp,579600.0,2088271.6981132075
2000,3,MAP_k,BA,imp,5496894.0,909917.0
2000,3,SAM_k,BA,imp,6531722.0,393745.0
2000,3,café,BA,exp,1183440.0,3721175.4716981133
2000,4,MAP_k,BA,imp,1150000.0,193920.0
2000,4,MOP_k,BA,imp,4199530.0,579535.0
2000,4,SAM_k,BA,imp,1574970.0,98319.0
2000,4,café,BA,exp,610500.0,1897381.1320754718
2000,5,MAP_k,BA,imp,2507039.0,413340.0
2000,5,café,BA,exp,865740.0,2762754.716981132
2000,6,SAM_k,BA,imp,9227154.0,564543.0
2000,6,café,BA,exp,622200.0,1930820.7547169812
2000,7,MAP_k,BA,imp,15786911.0,2468175.0
2000,7,MOP_k,BA,imp,12500000.0,1770445.0
2000,7,café,BA,exp,404400.0,1176518.8679245282
2000,8,MAP_k,BA,imp,12677281.0,2014515.0
2000,8,MOP_k,BA,imp,27352719.0,3797324.0
2000,8,SAM_k,BA,imp,9409799.0,612922.0
2000,8,UREIA_k,BA,imp,8200000.0,1237016.0
2000,8,café,BA,exp,660000.0,2165283.0188679243
2000,9,MAP_k,BA,imp,17615917.0,2930368.0
2000,9,MOP_k,BA,imp,4554049.0,625510.0
2000,9,UREIA_k,BA,imp,23084849.0,3523132.0
2000,9,café,BA,exp,434400.0,1357737.7358490566
2000,10,MAP_k,BA,imp,14396324.0,2675470.0
2000,10,MOP_k,BA,imp,18726114.0,2661762.0
2000,10,SAM_k,BA,imp,23951982.0,1705875.0
2000,10,UREIA_k,BA,imp,37842967.0,5341414.0
2000,10,café,BA,exp,442380.0,1473818.8679245282
2000,11,MAP_k,BA,imp,13078214.0,2625851.0
2000,11,MOP_k,BA,imp,20024980.0,2731898.0
2000,11,SAM_k,BA,imp,4317288.0,301895.0
2000,11,UREIA_k,BA,imp,26778143.0,3363044.0
2000,11,café,BA,exp,536400.0,1509016.9811320752
2000,12,MAP_k,BA,imp,4081627.0,756602.0
2000,12,MOP_k,BA,imp,3061420.0,422126.0
2000,12,SAM_k,BA,imp,6588320.0,473312.0
2000,12,café,BA,exp,346320.0,1092626.4150943395
2001,1,SAM_k,BA,imp,7839214.0,598859.0
2001,1,café,BA,exp,55200.0,168436.36363636362
2001,3,MAP_k,BA,imp,2827423.0,519494.0
2001,3,SAM_k,BA,imp,3000000.0,212695.0
2001,3,café,BA,exp,96000.0,270541.8181818182
2001,5,MAP_k,BA,imp,10854003.0,1922933.0
2001,5,MOP_k,BA,imp,3500000.0,506080.0
2001,6,MAP_k,BA,imp,9739787.0,1600145.0
2001,6,MOP_k,BA,imp,12501268.0,1809162.0
2001,6,SAM_k,BA,imp,6377702.0,511473.0
2001,6,UREIA_k,BA,imp,3002313.0,284651.0
2001,7,MAP_k,BA,imp,5675550.0,941159.0
2001,7,SAM_k,BA,imp,11643704.0,895030.0
2001,8,MAP_k,BA,imp,26770514.0,4027500.0
2001,8,MOP_k,BA,imp,33429669.0,4352267.0
2001,8,NP_k,BA,imp,207000.0,62176.0
2001,8,SAM_k,BA,imp,11168930.0,892733.0
2001,8,UREIA_k,BA,imp,19100772.0,1814573.0
2001,9,MAP_k,BA,imp,29565338.0,4726250.0
2001,9,MOP_k,BA,imp,51270154.0,6791642.0
2001,9,SAM_k,BA,imp,5825984.0,457547.0
2001,9,UREIA_k,BA,imp,26249755.0,2506852.0
2001,10,MAP_k,BA,imp,3150000.0,539069.0
2001,10,MOP_k,BA,imp,10445237.0,1379012.0
2001,10,UREIA_k,BA,imp,21857004.0,2180236.0
2001,10,café,BA,exp,38400.0,109818.1818181818
2001,11,MAP_k,BA,imp,7886485.0,1266869.0
2001,11,MOP_k,BA,imp,15247424.0,2005675.0
2001,12,UREIA_k,BA,imp,27972377.0,3011441.0
2001,12,café,BA,exp,92820.0,286278.18181818177
2002,2,MAP_k,BA,imp,10973305.0,1748107.0
2002,2,MOP_k,BA,imp,5116688.0,707555.0
2002,3,MAP_k,BA,imp,1583413.0,259279.0
2002,4,MOP_k,BA,imp,3900000.0,478318.0
2002,4,SAM_k,BA,imp,3475544.0,234113.0
2002,5,MAP_k,BA,imp,20245936.0,3090361.0
2002,5,MOP_k,BA,imp,13187676.0,1701354.0
2002,5,SAM_k,BA,imp,9184350.0,609703.0
2002,6,MAP_k,BA,imp,4197683.0,648373.0
2002,6,MOP_k,BA,imp,13048321.0,1597639.0
2002,7,MAP_k,BA,imp,31891085.0,4832811.0
2002,7,MOP_k,BA,imp,34733569.0,4220318.0
2002,7,SAM_k,BA,imp,3870791.0,251601.0
2002,8,MAP_k,BA,imp,19678535.0,3355150.0
2002,8,MOP_k,BA,imp,34240350.0,4217485.0
2002,8,SAM_k,BA,imp,5574297.0,347208.0
2002,9,MAP_k,BA,imp,8345161.0,1331973.0
2002,9,café,BA,exp,38400.0,122285.71428571428
2002,10,MAP_k,BA,imp,11785619.0,2149489.0
2002,10,MOP_k,BA,imp,11375597.0,1378820.0
2002,10,UREIA_k,BA,imp,11725069.0,1220258.0
2002,10,café,BA,exp,74400.0,210132.14285714284
2002,11,MOP_k,BA,imp,18342590.0,2272329.0
2002,11,NP_k,BA,imp,700000.0,208314.0
2002,11,SAM_k,BA,imp,11460960.0,755214.0
2002,11,UREIA_k,BA,imp,70779682.0,7380207.0
2002,12,MAP_k,BA,imp,9687774.0,1538319.0
2002,12,NP_k,BA,imp,201600.0,68061.0
2002,12,café,BA,exp,148800.0,440151.7857142857
2003,2,MOP_k,BA,imp,4027538.0,534588.0
2003,3,MAP_k,BA,imp,11056474.0,1938336.0
2003,3,MOP_k,BA,imp,7079036.0,814341.0
2003,3,NP_k,BA,imp,300000.0,90376.0
2003,3,UREIA_k,BA,imp,27655804.0,3892554.0
2003,4,MAP_k,BA,imp,11395862.0,2173034.0
2003,4,MOP_k,BA,imp,5775460.0,657667.0
2003,4,SAM_k,BA,imp,6891696.0,443746.0
2003,4,café,BA,exp,19200.0,60666.66666666667
2003,5,MAP_k,BA,imp,4523673.0,877222.0
2003,5,MOP_k,BA,imp,15832788.0,1940997.0
2003,5,NP_k,BA,imp,252000.0,86428.0
2003,6,MAP_k,BA,imp,13538393.0,2788247.0
2003,6,MOP_k,BA,imp,13371641.0,1730489.0
2003,6,SAM_k,BA,imp,2000847.0,136370.0
2003,6,UREIA_k,BA,imp,1701819.0,230817.0
2003,7,MAP_k,BA,imp,38437761.0,7837415.0
2003,7,MOP_k,BA,imp,31745000.0,3948842.0
2003,7,SAM_k,BA,imp,21393987.0,1682253.0
2003,7,UREIA_k,BA,imp,3625175.0,455908.0
2003,8,UREIA_k,BA,imp,38371198.78796923,5604808.0
2003,8,café,BA,exp,29520.0,84043.85964912281
2003,9,MAP_k,BA,imp,17796342.0,3334341.0
2003,9,MOP_k,BA,imp,60971081.0,7635893.0
2003,9,SAM_k,BA,imp,14494820.0,1128730.0
2003,9,UREIA_k,BA,imp,47281109.0,7171868.0
2003,10,MAP_k,BA,imp,27036776.0,5165503.0
2003,10,MOP_k,BA,imp,11611437.0,1496548.0
2003,10,SAM_k,BA,imp,12977929.0,1058052.0
2003,11,MAP_k,BA,imp,17659565.0,3414876.0
2003,11,MOP_k,BA,imp,17651268.0,1874826.0
2003,11,UREIA_k,BA,imp,29505833.0,4588225.0
2003,12,MOP_k,BA,imp,17457572.0,2239531.0
2003,12,UREIA_k,BA,imp,48203239.0,8072886.0
2004,1,MAP_k,BA,imp,10721702.0,2283353.0
2004,1,MOP_k,BA,imp,16929409.0,1919794.0
2004,1,NP_k,BA,imp,447360.0,149450.0
2004,1,SAM_k,BA,imp,5027872.0,439255.0
2004,1,UREIA_k,BA,imp,29951585.0,4622604.0
2004,2,MOP_k,BA,imp,8293555.0,1150337.0
2004,2,NP_k,BA,imp,300000.0,90506.0
2004,3,MAP_k,BA,imp,13343170.0,3012287.0
2004,3,MOP_k,BA,imp,15825136.0,1767003.0
2004,3,NP_k,BA,imp,1200000.0,422195.0
2004,3,SAM_k,BA,imp,4000000.0,398386.0
2004,3,UREIA_k,BA,imp,28745891.0,4477173.0
2004,3,café,BA,exp,38400.0,112813.5593220339
2004,4,MAP_k,BA,imp,13473290.0,3238078.0
2004,4,MOP_k,BA,imp,11540000.0,1486909.0
2004,4,café,BA,exp,55200.0,161779.66101694916
2004,5,MAP_k,BA,imp,16968435.0,3961464.0
2004,5,MOP_k,BA,imp,6521600.0,880327.0
2004,5,SAM_k,BA,imp,8600000.0,885193.0
2004,6,MAP_k,BA,imp,11574695.0,2659264.0
2004,6,MOP_k,BA,imp,7132961.0,986868.0
2004,6,SAM_k,BA,imp,14008411.0,1587362.0
2004,6,café,BA,exp,76800.0,225627.1186440678
2004,6,soja,BA,exp,79836860.0,42386298.30508475
2004,7,MAP_k,BA,imp,21632246.0,5036537.0
2004,7,MOP_k,BA,imp,32968685.0,5006243.0
2004,7,NP_k,BA,imp,250000.0,77737.0
2004,7,UREIA_k,BA,imp,18700000.0,2953171.0
2004,7,soja,BA,exp,65986500.0,34176106.779661015
2004,8,MAP_k,BA,imp,47712638.0,10773809.0
2004,8,MOP_k,BA,imp,35849438.0,6017186.0
2004,8,UREIA_k,BA,imp,47182935.0,8392948.0
2004,8,café,BA,exp,135240.0,391342.3728813559
2004,8,soja,BA,exp,58324090.0,31788555.932203393
2004,9,MAP_k,BA,imp,25029746.0,5758223.0
2004,9,MOP_k,BA,imp,67228967.0,11546951.0
2004,9,SAM_k,BA,imp,5302210.0,464234.0
2004,9,UREIA_k,BA,imp,64535626.0,14024709.0
2004,9,café,BA,exp,86040.0,270549.1525423729
2004,9,soja,BA,exp,95634920.0,46688920.33898306
2004,10,MAP_k,BA,imp,19162406.0,4504756.0
2004,10,MOP_k,BA,imp,21789189.0,3822145.0
2004,10,café,BA,exp,76260.0,268822.0338983051
2004,10,soja,BA,exp,24787490.0,13104827.118644068
2004,11,MAP_k,BA,imp,4228939.0,1017088.0
2004,11,MOP_k,BA,imp,11833492.0,2110782.0
2004,11,NP_k,BA,imp,1344000.0,342888.0
2004,11,UREIA_k,BA,imp,66619721.0,14302906.0
2004,11,café,BA,exp,429960.0,1309981.3559322034
2004,12,MOP_k,BA,imp,5752670.0,1027766.0
2004,12,NP_k,BA,imp,672000.0,171408.0
2004,12,UREIA_k,BA,imp,61613070.0,14292933.0
2004,12,café,BA,exp,1637160.0,4716544.06779661
2005,1,MAP_k,BA,imp,4502715.0,1139794.0
2005,1,MOP_k,BA,imp,2883566.0,492455.0
2005,1,café,BA,exp,1827600.0,5555990.163934426
2005,2,MAP_k,BA,imp,5651997.0,1320339.0
2005,2,UREIA_k,BA,imp,31605070.0,5878543.0
2005,2,café,BA,exp,3210000.0,9559909.836065574
2005,3,café,BA,exp,3455100.0,10995929.508196723
2005,4,MAP_k,BA,imp,3150994.0,744725.0
2005,4,café,BA,exp,3276420.0,10989172.131147541
2005,5,MAP_k,BA,imp,25132754.0,6321096.0
2005,5,SAM_k,BA,imp,4019593.0,483971.0
2005,5,café,BA,exp,2045520.0,7113340.983606557
2005,6,MAP_k,BA,imp,17500173.0,4217727.0
2005,6,MOP_k,BA,imp,3801676.0,788862.0
2005,6,NP_k,BA,imp,199800.0,72368.0
2005,6,SAM_k,BA,imp,4031586.0,473040.0
2005,6,café,BA,exp,1682520.0,5596450.819672131
2005,7,MAP_k,BA,imp,16498169.0,3928593.0
2005,7,MOP_k,BA,imp,4007943.0,820298.0
2005,7,café,BA,exp,2574300.0,9069198.360655738
2005,8,MAP_k,BA,imp,12783244.0,3255826.0
2005,8,MOP_k,BA,imp,28147385.0,5650157.0
2005,8,café,BA,exp,3155460.0,10823881.967213115
2005,9,MAP_k,BA,imp,48164625.0,12807775.0
2005,9,MOP_k,BA,imp,18437087.0,3775767.0
2005,9,NP_k,BA,imp,500000.0,152900.0
2005,9,SAM_k,BA,imp,6001005.0,703689.0
2005,9,UREIA_k,BA,imp,11499142.0,2423444.0
2005,9,café,BA,exp,3257220.0,11051834.426229509
2005,10,MAP_k,BA,imp,9748593.0,2635824.0
2005,10,MOP_k,BA,imp,9974000.0,2106558.0
2005,10,UREIA_k,BA,imp,46705983.0,9764684.0
2005,10,café,BA,exp,2663400.0,8421645.901639344
2005,11,MAP_k,BA,imp,15565435.0,4343228.0
2005,11,MOP_k,BA,imp,44093200.0,8957284.0
2005,11,UREIA_k,BA,imp,20917240.0,4371703.0
2005,11,café,BA,exp,3806220.0,11754944.262295082
2005,12,MOP_k,BA,imp,8993305.0,1869136.0
2005,12,NPK_k,BA,imp,2016000.0,928035.0
2005,12,NP_k,BA,imp,308000.0,131230.0
2005,12,SAM_k,BA,imp,2250000.0,229500.0
2005,12,UREIA_k,BA,imp,48401305.0,10308334.0
2005,12,café,BA,exp,2147820.0,6861770.491803279
2006,1,MAP_k,BA,imp,5039862.0,1401544.0
2006,1,MOP_k,BA,imp,3717480.0,724884.0
2006,1,SAM_k,BA,imp,6530692.0,699455.0
2006,1,UREIA_k,BA,imp,27085811.0,6197395.0
2006,1,café,BA,exp,2346240.0,7049169.841269841
2006,2,MAP_k,BA,imp,8952433.0,2405502.0
2006,2,SAM_k,BA,imp,1406609.0,146609.0
2006,2,UREIA_k,BA,imp,14735879.0,3256032.0
2006,2,café,BA,exp,2622840.0,8879673.015873015
2006,3,MAP_k,BA,imp,1430125.0,379200.0
2006,3,MOP_k,BA,imp,8686936.0,1573598.0
2006,3,café,BA,exp,2175300.0,6968231.746031746
2006,4,MAP_k,BA,imp,12936808.0,3508693.0
2006,4,MOP_k,BA,imp,11030538.0,2032131.0
2006,4,café,BA,exp,2269440.0,7455311.111111111
2006,5,MAP_k,BA,imp,4525000.0,1238193.0
2006,5,MOP_k,BA,imp,7004215.0,1281124.0
2006,5,SAM_k,BA,imp,8401561.0,810524.0
2006,5,café,BA,exp,1854840.0,6402596.825396826
2006,6,MAP_k,BA,imp,842036.0,224008.0
2006,6,MOP_k,BA,imp,7233771.0,1286873.0
2006,6,NP_k,BA,imp,384000.0,159536.0
2006,6,café,BA,exp,1530420.0,5107496.825396826
2006,7,MAP_k,BA,imp,48201757.0,13356674.0
2006,7,MOP_k,BA,imp,3850000.0,734881.0
2006,7,NP_k,BA,imp,432000.0,179424.0
2006,7,SAM_k,BA,imp,6500552.0,602787.0
2006,7,café,BA,exp,1934520.0,6069977.777777778
2006,8,MAP_k,BA,imp,13018472.0,3553996.0
2006,8,MOP_k,BA,imp,33081126.0,5841781.0
2006,8,NP_k,BA,imp,192000.0,81697.0
2006,8,SAM_k,BA,imp,6032954.0,613632.0
2006,8,café,BA,exp,3378000.0,10741025.396825397
2006,9,MAP_k,BA,imp,10322747.0,2867896.0
2006,9,MOP_k,BA,imp,6309460.0,1089283.0
2006,9,NP_k,BA,imp,252000.0,54869.0
2006,9,SAM_k,BA,imp,3596152.0,368743.0
2006,9,café,BA,exp,5876040.0,19558260.317460317
2006,10,MOP_k,BA,imp,36712549.0,6657371.0
2006,10,café,BA,exp,6451320.0,20977619.04761905
2006,11,MAP_k,BA,imp,36946683.0,10347665.0
2006,11,MOP_k,BA,imp,6092341.0,1101910.0
2006,11,NP_k,BA,imp,364000.0,138376.0
2006,11,café,BA,exp,5418180.0,17667879.365079366
2006,12,MAP_k,BA,imp,5613923.0,1569383.0
2006,12,SAM_k,BA,imp,6125053.0,755157.0
2006,12,UREIA_k,BA,imp,20846584.0,4618051.0
2006,12,café,BA,exp,5956170.0,21160514.285714284
2007,1,MAP_k,BA,imp,3428637.0,986387.0
2007,1,MOP_k,BA,imp,8155584.0,1386788.0
2007,1,SAM_k,BA,imp,2901591.0,350471.0
2007,1,café,BA,exp,6202440.0,22182937.5
2007,2,MAP_k,BA,imp,4161981.0,1187004.0
2007,2,SAM_k,BA,imp,4010429.0,514624.0
2007,2,café,BA,exp,5529660.0,19415265.625
2007,3,MOP_k,BA,imp,7260725.0,1310182.0
2007,3,SAM_k,BA,imp,4010817.0,650491.0
